                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.78163,                 1.3942,                 1.2393,                0.59391,                0.60426,                0.59866,                0.41781,                0.91522,                 1.1508,                 1.2806,              0.0004754,              0.0004754,              0.0004754
                      2,                 0.7713,                0.96523,                 1.2368,                0.72625,                0.67606,                0.68218,                0.46538,                 1.0203,                 1.0589,                 1.3418,             0.00093289,             0.00093289,             0.00093289
                      3,                 0.7635,                0.88965,                  1.236,                0.78203,                0.71084,                0.75985,                0.50343,                 1.0199,                0.83903,                 1.3477,              0.0013715,              0.0013715,              0.0013715
                      4,                 0.7386,                0.83115,                 1.2123,                0.78858,                0.73946,                0.75613,                0.52308,                0.93545,                 0.7726,                 1.2679,              0.0013441,              0.0013441,              0.0013441
                      5,                0.71672,                0.78837,                  1.199,                0.90513,                0.77224,                0.81379,                0.58388,                0.86197,                0.72505,                 1.2194,              0.0013158,              0.0013158,              0.0013158
                      6,                0.68391,                 0.7457,                 1.1799,                0.90725,                 0.7922,                0.83149,                0.60918,                0.85236,                0.66588,                 1.1898,              0.0012875,              0.0012875,              0.0012875
                      7,                0.67157,                0.72881,                 1.1703,                0.89399,                0.79008,                0.83593,                 0.6125,                 0.8041,                0.67621,                 1.1454,              0.0012592,              0.0012592,              0.0012592
                      8,                 0.6447,                0.69812,                 1.1546,                0.87897,                0.79506,                0.84707,                0.61814,                 0.7964,                0.62245,                 1.2022,              0.0012309,              0.0012309,              0.0012309
                      9,                0.63968,                0.68651,                 1.1477,                0.88563,                0.82216,                0.83413,                0.62713,                0.76698,                0.61906,                 1.1611,              0.0012026,              0.0012026,              0.0012026
                     10,                0.62067,                0.66496,                 1.1395,                0.86624,                0.78234,                0.84793,                0.64548,                0.75469,                0.57846,                 1.1547,              0.0011744,              0.0011744,              0.0011744
                     11,                0.60908,                0.64786,                 1.1291,                0.85034,                0.80356,                0.82928,                0.65282,                0.70616,                0.59694,                 1.0649,              0.0011461,              0.0011461,              0.0011461
                     12,                 0.5997,                0.62919,                 1.1201,                0.93017,                0.79658,                0.84926,                  0.657,                0.72757,                 0.5884,                 1.1099,              0.0011178,              0.0011178,              0.0011178
                     13,                0.59594,                0.62531,                 1.1186,                  0.897,                0.80619,                 0.8449,                0.66955,                0.68358,                0.55919,                 1.0592,              0.0010895,              0.0010895,              0.0010895
                     14,                0.58246,                0.61437,                 1.1148,                0.91423,                0.82241,                0.84643,                0.67261,                0.65626,                0.53021,                 1.0892,              0.0010612,              0.0010612,              0.0010612
                     15,                0.57979,                0.60048,                  1.112,                0.89246,                0.83847,                0.85372,                0.67599,                0.67036,                0.55696,                 1.0595,              0.0010329,              0.0010329,              0.0010329
                     16,                0.56808,                0.58991,                 1.1039,                0.87483,                0.83317,                0.85691,                0.66374,                0.70141,                0.56001,                 1.1183,              0.0010046,              0.0010046,              0.0010046
                     17,                0.56687,                0.58417,                 1.1015,                0.92954,                0.83313,                0.89137,                0.72166,                0.63575,                0.52268,                 1.0683,             0.00097629,             0.00097629,             0.00097629
                     18,                 0.5587,                0.57538,                 1.0956,                0.85909,                0.83744,                0.86058,                0.68296,                0.63701,                0.52176,                 1.0489,               0.000948,               0.000948,               0.000948
                     19,                0.55771,                0.57097,                 1.0947,                0.91645,                0.79866,                0.85074,                0.67921,                0.65341,                0.53459,                 1.0606,              0.0009197,              0.0009197,              0.0009197
